source_id,level,nuts_primary,title,status,open_date,deadline,budget_total_eur,publishing_authority,details_url,mrr
896987,local,ES709,"Convocatoria de las subvenciones destinadas a sufragar gastos corrientes de gestión, administración y actividad ordinaria de las federaciones deportivas de Tenerife y a la adquisición de material inventariable por parte de las mismas durante el año 2026",open,,,500000,LOCAL / CABILDO INSULAR DE TENERIFE / CABILDO INSULAR DE TENERIFE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/896987,false
896991,ccaa,ES43,"Ayudas de la Intervención Sectorial Apícola 2026, según Resolución de 23 de marzo de 2026 que las convoca.",open,,,4234958,AUTONOMICA / EXTREMADURA / DIRECCIÓN GENERAL DE POLÍTICA AGRARIA COMUNITARIA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/896991,false
896993,local,ES709,Convocatoria de las subvenciones destinadas a la promoción y fomento de los deportes y juegos motores autóctonos y tradicionales de Canarias durante el año 2026,open,,,833000,LOCAL / CABILDO INSULAR DE TENERIFE / CABILDO INSULAR DE TENERIFE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/896993,false
896996,ccaa,ES13,"Orden IND/14/2026, de 31 de marzo, por la que se aprueba la convocatoria para el año 2026 de subvenciones destinadas al fomento y la difusión de la economía social y del trabajo autónomo y al apoyo a las entidades representativas de la economía social.",open,,,300000,"AUTONOMICA / CANTABRIA / CONSEJERÍA DE INDUSTRIA, EMPLEO, INNOVACIÓN Y COMERCIO",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/896996,false
896999,estado,,"Resolución de 6 de abril de 2026 de la Presidencia del Centro para el Desarrollo Tecnológico y la Innovación E.P.E. (CDTI), por la que se aprueba la convocatoria para el año 2026 del procedimiento de concesión de ayudas Neotec",open,2026-04-14,2026-05-14,20383300,"ESTADO / MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES / CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/896999,false
897001,local,ES709,"Acuerdo 1 de abril 2026, del Consejo de Gobierno Insular, por el que se aprueba la convocatoria de subvenciones con destino a la mejora de la comercialización de los túnidos capturados por embarcaciones con puerto base en Canarias”, para el ejercicio 2026",open,,2026-08-31,300000,LOCAL / CABILDO INSULAR DE TENERIFE / CABILDO INSULAR DE TENERIFE,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897001,false
897003,otros,ES614,"RESOLUCIÓN de la Vicerrectora de Extensión Universitaria, Patrimonio y Relaciones Institucionales, de 27 de marzo de 2026, por la que se publican las bases
reguladoras y se convoca el Programa de Residencias de Creación “Los Tientos"" 2026",open,2026-04-09,2026-05-08,17500,OTROS / UNIVERSIDAD DE GRANADA,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897003,false
897004,ccaa,ES7,CONV SUBV INFRAESTRUCTURA 2026,open,,,2000000,"AUTONOMICA / CANARIAS / CONSEJERÍA DE UNIVERSIDADES, CIENCIA E INNOVACIÓN Y CULTURA",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897004,false
897005,ccaa,ES7,"RESOLUCIÓN DE LA PRESIDENCIA DEL SCE, POR LA QUE SE APRUEBA LA CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES A LAS UNIDADES DE APOYO A LA ACTIVIDAD PROFESIONAL, EN EL MARCO DE LOS SERVICIOS DE AJUSTE PERSONAL Y SOCIAL DE LOS CEE (2026)",open,,,600000,AUTONOMICA / CANARIAS / SERVICIO CANARIO DE EMPLEO,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897005,false
897024,ccaa,ES12,"Resolución de 31/03/2026 de la Agencia de Ciencia, Competitividad Empresarial e Innovación Asturiana, que aprueba la convocatoria única para la realización de proyectos de I+D+i en red por parte de OPIS en colaboración con entidades año 2026",open,,,700000,"AUTONOMICA / PRINCIPADO DE ASTURIAS / AGENCIA DE CIENCIA, COMPETITIVIDAD EMPRESARIAL E INNOVACIÓN",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897024,false
897029,ccaa,ES120,Resolución de la Consejería de Educación por la que se convocan los premios extraordinarios de bachillerato curso 2025/2026,open,,2026-05-20,4800,AUTONOMICA / PRINCIPADO DE ASTURIAS / CONSEJERÍA DE EDUCACIÓN,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897029,false
897032,local,ES300,CONV.SUBVENC.FOMENTO ASOCIACIONISMO 2026_CHAMBERI,open,,,4810,LOCAL / MADRID / DISTRITO DE CHAMBERÍ,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897032,false
897033,local,ES300,CONV.SUBVENC.FOMENTO ASOCIACIONISMO 2026_CHAMBERI,open,,,45190,LOCAL / MADRID / DISTRITO DE CHAMBERÍ,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatoria/897033,false
