salto_id,type,title,dates,city,country,deadline_iso,deadline_raw,participants_countries,summary,url
14857,Training Course,Into the Future (5th Edition),9-15 September 2026,Osterholz-Scharmbeck (near Bremen),Germany,2026-06-25,25 June 2026,"Croatia, Czech Republic, Germany, Greece, Spain, Türkiye",This training course is going to provide the space to explore best-case practices and improve youth work competences based on the ETS Competence Model for Youth Workers.,https://www.salto-youth.net/tools/european-training-calendar/training/into-the-future-5th-edition.14857/
14941,Partnership-building Activity,Beyond Take Off: From Local Youth Work to Cross Border Connections,7-11 October 2026,Tbilisi,Georgia,2026-06-28,28 June 2026,"Armenia, Azerbaijan, Georgia, Iceland, Moldova, Ukraine","Partner Building Activity bringing together youth workers, youth organisations and local youth work actors from Iceland and the Eastern Europe and Caucasus (EECA) region.",https://www.salto-youth.net/tools/european-training-calendar/training/beyond-take-off-from-local-youth-work-to-cross-border-connections.14941/
14958,Conference – Symposium - Forum,Exchange Forum on the European Youth Work Agenda: Boosting national processes for youth work development,23-26 November 2026,Ljubljana,Slovenia,2026-06-28,28 June 2026,"Eastern Partnership countries , Erasmus+ Youth Programme countries , Western Balkan countries",The Exchange Forum on the European Youth Work Agenda (EYWA) is the annual residential event for key stakeholders shaping the national processes within the context of the EYWA in their respective European countries.,https://www.salto-youth.net/tools/european-training-calendar/training/exchange-forum-on-the-european-youth-work-agenda-boosting-national-processes-for-youth-work-development.14958/
14895,Training Course,Supporting ESC Volunteers through Mentoring Training Course,16-21 November 2026,,Tunisia,2026-06-28,28 June 2026,"Erasmus+ Youth Programme countries , Partner Countries Neighbouring the EU","Are you new to supporting European Solidarity Corps volunteers? Join our training to strengthen your practice: support well-being and integration, navigate challenges, and foster meaningful learning through inclusive, hands-on mentoring approaches.",https://www.salto-youth.net/tools/european-training-calendar/training/supporting-esc-volunteers-through-mentoring-training-course.14895/
14869,Training Course,Authentic Leaders for Collective Action,1-12 September 2026,"Oasis des âges, Chartrier Ferrière",France,2026-06-29,29 June 2026,"France, Germany, Italy, Poland, Portugal, Spain","""Authentic Leaders for Collective Action"" training course is a unique immersion of 10 days where 22 youth workers will discover cooperation tools and embodiment practices to foster an authentic leadership.",https://www.salto-youth.net/tools/european-training-calendar/training/authentic-leaders-for-collective-action.14869/
14788,Seminar,International Solidarity Project Meet-Up 2026,14-18 September 2026,Warsaw,Poland,2026-06-30,30 June 2026,"Austria, Belgium - DE, Belgium - FL, Belgium - FR, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Republic of North Macedonia, Romania, Slovak Republic, Slovenia, Spain, Sweden, Türkiye",The “International Solidarity Project Meet-Up” is an international meeting for national Solidarity Projects and their team members. It will bring together young people who are implementing or have implemented a Solidarity Project.,https://www.salto-youth.net/tools/european-training-calendar/training/international-solidarity-project-meet-up-2026.14788/
14830,Training Course,European Meeting Weaving Inclusion: IDENTITIES & ART (TEIA),1-9 August 2026,Covilhã,Portugal,2026-06-30,30 June 2026,"Belgium - DE, Belgium - FL, Belgium - FR, Denmark, France, Germany, Luxembourg, Portugal, Sweden","This meeting aims to support youth workers and facilitators to better respond to the needs of young people. 8-day arts-based training in Covilhã on inclusion and diversity through arts-based workshops and co-creation, offering practical youth work tools.",https://www.salto-youth.net/tools/european-training-calendar/training/european-meeting-weaving-inclusion-identities-art-teia.14830/
14909,Training Course,Bodies in Dialogue,10-18 October 2026,,France,2026-06-30,30 June 2026,"France, Serbia, Slovak Republic, Slovenia, Spain, Sweden","Experiential Erasmus+ training for youth workers exploring the body as a tool to embody consent and inclusion through somatic practices, Contact Improvisation and collective learning.",https://www.salto-youth.net/tools/european-training-calendar/training/bodies-in-dialogue.14909/
14923,Conference – Symposium - Forum,Youth@Work Conference: Value and Recognition of Youth Work for Employability and Entrepreneurship,14-18 September 2026,Batumi,Georgia,2026-06-30,30 June 2026,"Eastern Partnership countries , Erasmus+ Youth Programme countries , Western Balkan countries","The Youth@Work Conference brings together youth workers, trainers, policy-makers, researchers, NAs, SALTO RCs, employment stakeholders, and youth organisations to explore the value of youth work for employability and entrepreneurship.",https://www.salto-youth.net/tools/european-training-calendar/training/youth-work-conference-value-and-recognition-of-youth-work-for-employability-and-entrepreneurship.14923/
14925,Conference – Symposium - Forum,KA2 stakeholder conference KA2NOW,9-12 November 2026,"National Library of Estonia, Tallinn",Estonia,2026-06-30,30 June 2026,Erasmus+ Youth Programme countries,"KA2NOW is a large-scale European stakeholder conference focusing on the impact, learning and future development of the key action (KA) within the new Erasmus+ in the youth field.",https://www.salto-youth.net/tools/european-training-calendar/training/ka2-stakeholder-conference-ka2now.14925/
14938,Training Course,Tools for Youth Exchanges (TYE),14-19 September 2026,"Haraldsheim, Oslo",Norway,2026-07-01,1 July 2026,Erasmus+ Youth Programme countries,"Tools for Youth Exchanges (TYE) is an engaging and practical training experience, where you can explore, test, collaborate and construct tools for building better youth exchange projects.",https://www.salto-youth.net/tools/european-training-calendar/training/tools-for-youth-exchanges-tye.14938/
14852,Partnership-building Activity,ERASMUS LUX,16-22 November 2026,Terrassa-Barcelona,Spain,2026-07-01,1 July 2026,Erasmus+ Youth Programme countries,"Erasmus Lux is an international networking activity, aimed at accredited organisations operating in Erasmus+ Programme.",https://www.salto-youth.net/tools/european-training-calendar/training/erasmus-lux.14852/
