identifier,programme,status,opening,deadline,deadline_model,budget_total_eur,action_type,topic_url
HORIZON-CL5-2027-06-D6-11,Horizon Europe,forthcoming,2027-06-03,2027-10-07,single-stage,37100000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-06-D6-11
HORIZON-CL5-2026-10-D6-02,Horizon Europe,forthcoming,2026-06-04,2026-10-08,single-stage,263000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-10-D6-02
HORIZON-CL5-2026-10-D6-03,Horizon Europe,forthcoming,2026-06-04,2026-10-08,single-stage,263000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-10-D6-03
HORIZON-CL5-2026-10-D6-10,Horizon Europe,forthcoming,2026-06-04,2026-10-08,single-stage,263000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-10-D6-10
HORIZON-CL5-2027-06-D6-04,Horizon Europe,forthcoming,2027-06-03,2027-10-07,single-stage,37100000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-06-D6-04
HORIZON-CL4-2027-02-MAT-PROD-32-two-stage,Horizon Europe,forthcoming,2026-09-22,2027-02-02,two-stage,82500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-02-MAT-PROD-32-two-stage
HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-02,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-02
HORIZON-WIDERA-2026-03-WIDENING-01,Horizon Europe,open,2026-01-13,2026-09-24,single-stage,30000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2026-03-WIDENING-01
HORIZON-WIDERA-2027-05-ERA-02,Horizon Europe,forthcoming,2026-12-08,2027-03-11,single-stage,42000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2027-05-ERA-02
HORIZON-WIDERA-2027-05-ERA-03,Horizon Europe,forthcoming,2026-12-08,2027-03-11,single-stage,42000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2027-05-ERA-03
HORIZON-CL5-2027-03-D5-20,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-20
HORIZON-CL5-2027-06-D6-05,Horizon Europe,forthcoming,2027-06-03,2027-10-07,single-stage,37100000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-06-D6-05
